userid;venueid;utctimestamp;tpos
0;4b57b82cf964a520a53d28e3;08/02/2014 14:17:03;0
0;4b0959d9f964a520101623e3;08/02/2014 21:21:11;1
0;4e0dacd8e4cd27fc7d27683c;08/02/2014 22:40:10;2
0;4b3ff06cf964a52097b225e3;09/02/2014 08:56:36;3
0;4d3b411f34ee37044203819b;09/02/2014 13:11:41;4
0;4c5c993585a1e21e71285711;09/02/2014 19:55:42;5
0;4ccc6c8daa25a35df1d5140f;10/02/2014 05:08:00;6
0;4c6735c2aebea59357a675d0;10/02/2014 06:10:03;7
0;4a044315f964a520ea711fe3;10/02/2014 09:01:22;8
0;4c5c076c7735c9b6af0e8b72;10/02/2014 11:23:50;9
0;49eeaf08f964a52078681fe3;10/02/2014 15:43:14;10
0;4b771221f964a5203b7a2ee3;11/02/2014 02:39:57;11
0;4eee6c6db8f76a24a64c3749;11/02/2014 07:53:22;12
0;4a691921f964a5209bcb1fe3;11/02/2014 14:31:34;13
0;49d7cb80f964a520645d1fe3;11/02/2014 21:42:17;14
0;4b4b6e24f964a5204f9b26e3;12/02/2014 06:59:46;15
0;4a903faef964a520ca1620e3;12/02/2014 15:03:11;16
0;4af206e0f964a52043e521e3;13/02/2014 07:42:57;17
0;4c3931bb1e06d13a6447793e;13/02/2014 08:28:43;18
0;4b284cf3f964a520399224e3;13/02/2014 12:33:15;19
0;4d58ba5124466ea8f0dd6f9f;13/02/2014 16:06:28;20
0;4a9ae597f964a520763320e3;13/02/2014 16:29:16;21
0;4ac67d85f964a5209fb420e3;13/02/2014 18:48:16;22
0;4c8fad8ad68c6dcbae7306a2;13/02/2014 21:17:59;23
0;4d992cdab188721efbaf3937;14/02/2014 01:23:42;24
0;4af307a1f964a520ece921e3;14/02/2014 09:25:48;25
0;4eb1384a30f855c20f134902;14/02/2014 12:05:00;26
0;4c8e97ab1992a1cded01dffb;14/02/2014 14:09:41;27
0;4beacea4415e20a12174e5bb;14/02/2014 19:42:12;28
0;4c8872cd7223b1f762e12ba8;14/02/2014 21:27:55;29
0;4b7f00fef964a5209f0f30e3;15/02/2014 04:06:52;30
0;4ed3dde39adf25445af268c3;15/02/2014 05:13:46;31
0;4f8229fbe4b0ac16a362fd96;15/02/2014 08:32:20;32
0;4ce827fe948f224b9caaee5d;15/02/2014 09:03:59;33
0;4bdd99a9f4a9a59388aa308b;15/02/2014 09:54:48;34
0;50244868e4b08284ba2ea610;15/02/2014 13:12:18;35
0;4dce9685b0fb25f6e346e31a;15/02/2014 14:22:28;36
0;4ca13721d3c2b60cc3fce3bc;15/02/2014 18:23:09;37
0;4fab21d1e4b0be1a3d54b15c;15/02/2014 23:26:24;38
0;4b5861d9f964a5203e5528e3;16/02/2014 02:42:03;39
0;49bfcd11f964a52026551fe3;16/02/2014 07:56:16;40
0;4ff4d32de4b01ead012f38f9;16/02/2014 10:19:01;41
0;4f735502c2ee7d5387a2ce83;16/02/2014 20:50:51;42
0;4f874f61e4b0ab0c192103fc;16/02/2014 23:31:27;43
0;4ad34ef5f964a520b9e320e3;17/02/2014 00:54:45;44
0;4d9530c8c19fb60c961f6265;17/02/2014 15:23:32;45
0;4ea10fd7b8f7e4911e098e32;17/02/2014 18:04:40;46
0;4a9fb39af964a520363d20e3;17/02/2014 20:59:39;47
0;4f6e61f9e4b0738fb3240598;17/02/2014 22:47:16;48
0;4b6caa11f964a520754a2ce3;18/02/2014 02:49:15;49
0;4d602942196ba093bdb81656;18/02/2014 06:18:20;50
1;4e42c8211495387dc48ae0d4;08/02/2014 10:30:54;0
1;4bc66f7fbf29c9b617eaf92a;08/02/2014 16:10:12;1
1;4bfc3890e05e0f47785ccfa8;08/02/2014 16:59:19;2
1;4de9a65ed4c00071b80f48f1;08/02/2014 23:24:48;3
1;4d1796048312236a1ef55eba;09/02/2014 01:55:53;4
1;4c3e152b51dee21eb01fea6e;09/02/2014 03:32:13;5
1;4b297858f964a5206b9f24e3;09/02/2014 06:23:16;6
1;4e35e55c1f6e9e21ad53d211;09/02/2014 08:05:58;7
1;4ec7dce577c8be4923143f2e;09/02/2014 12:18:42;8
1;42a4e380f964a520f7241fe3;09/02/2014 20:43:26;9
