 userid |   start    | start_pos | length 
--------+------------+-----------+--------
      4 | 2014-02-25 |       166 |      2
      7 | 2014-02-18 |        91 |      2
     22 | 2014-02-13 |        44 |      2
     33 | 2014-02-12 |        31 |      2
     43 | 2014-02-21 |       146 |      2
     49 | 2014-02-16 |        77 |      2
     77 | 2014-02-23 |       145 |      2
    101 | 2014-02-12 |        48 |      2
    116 | 2014-02-21 |       132 |      2
    146 | 2014-02-21 |       116 |      2
    165 | 2014-02-12 |        42 |      2
    169 | 2014-02-16 |        80 |      2
    210 | 2014-02-24 |       155 |      2
    214 | 2014-02-13 |        47 |      2
    264 | 2014-02-27 |       194 |      2
    273 | 2014-02-16 |        76 |      2
    299 | 2014-02-13 |        43 |      2
    366 | 2014-02-19 |       133 |      2
    414 | 2014-02-24 |       135 |      2
    437 | 2014-02-24 |       172 |      2
    479 | 2014-02-12 |        53 |      2
    512 | 2014-02-27 |       177 |      2
    536 | 2014-02-24 |       150 |      2
    542 | 2014-02-09 |        15 |      2
    575 | 2014-02-22 |       146 |      2
    609 | 2014-02-20 |       129 |      2
    646 | 2014-02-23 |       165 |      2
    698 | 2014-02-21 |       138 |      2
    720 | 2014-02-12 |        36 |      2
    726 | 2014-02-09 |        21 |      2
    741 | 2014-02-10 |        19 |      2
    747 | 2014-02-27 |       212 |      2
    768 | 2014-02-11 |        37 |      2
    816 | 2014-02-18 |        93 |      2
    825 | 2014-02-11 |        23 |      2
    866 | 2014-02-12 |        44 |      2
    889 | 2014-02-18 |       107 |      2
    890 | 2014-02-21 |       146 |      2
    912 | 2014-02-17 |       118 |      2
    925 | 2014-02-15 |        79 |      2
    950 | 2014-02-17 |        93 |      2
    955 | 2014-02-18 |       104 |      2
    969 | 2014-02-10 |        20 |      2
    997 | 2014-02-15 |        67 |      2
    997 | 2014-02-24 |       140 |      2
      9 | 2014-02-22 |       128 |      3
     19 | 2014-02-23 |       143 |      3
     22 | 2014-02-10 |        16 |      3
     22 | 2014-02-13 |        44 |      3
     28 | 2014-02-11 |        27 |      3
     54 | 2014-02-09 |         7 |      3
     78 | 2014-02-08 |         5 |      3
    103 | 2014-02-26 |       192 |      3
    132 | 2014-02-17 |        83 |      3
    146 | 2014-02-27 |       184 |      3
    182 | 2014-02-20 |       111 |      3
    184 | 2014-02-27 |       216 |      3
    185 | 2014-02-24 |       151 |      3
    242 | 2014-02-26 |       181 |      3
    316 | 2014-02-22 |       126 |      3
    319 | 2014-02-09 |         5 |      3
    333 | 2014-02-08 |        10 |      3
    433 | 2014-02-15 |        61 |      3
    458 | 2014-02-23 |       177 |      3
    537 | 2014-02-22 |       130 |      3
    542 | 2014-02-16 |        85 |      3
    638 | 2014-02-14 |        68 |      3
    658 | 2014-02-20 |       102 |      3
    764 | 2014-02-21 |       128 |      3
    792 | 2014-02-20 |       104 |      3
    889 | 2014-02-18 |       106 |      3
    899 | 2014-02-22 |       137 |      3
    907 | 2014-02-17 |        81 |      3
    948 | 2014-02-17 |        80 |      3
    950 | 2014-02-17 |        92 |      3
    997 | 2014-02-15 |        67 |      3
      5 | 2014-02-08 |         3 |      4
     43 | 2014-02-20 |       127 |      4
     65 | 2014-02-21 |       110 |      4
     67 | 2014-02-09 |         9 |      4
     86 | 2014-02-24 |       163 |      4
     86 | 2014-02-25 |       172 |      4
    109 | 2014-02-16 |        78 |      4
    151 | 2014-02-24 |       178 |      4
    211 | 2014-02-25 |       168 |      4
    268 | 2014-02-16 |        72 |      4
    296 | 2014-02-20 |       123 |      4
    310 | 2014-02-27 |       179 |      4
    323 | 2014-02-16 |        84 |      4
    335 | 2014-02-17 |        89 |      4
