 userid |   ddate    | tpos | lengthh 
--------+------------+------+---------
      0 | 2014-02-23 |  113 |      13
      0 | 2014-02-21 |   90 |      13
      1 | 2014-02-24 |  146 |      16
      1 | 2014-02-16 |   69 |      16
      2 | 2014-02-24 |  144 |      17
      3 | 2014-02-11 |   20 |      16
      4 | 2014-02-10 |   20 |      15
      5 | 2014-02-10 |   17 |      16
      6 | 2014-02-10 |   16 |      18
      7 | 2014-02-10 |   16 |      17
      7 | 2014-02-14 |   64 |      17
      8 | 2014-02-15 |   63 |      14
      9 | 2014-02-16 |   70 |      15
     10 | 2014-02-15 |   60 |      15
     10 | 2014-02-13 |   38 |      15
     11 | 2014-02-26 |  173 |      18
     12 | 2014-02-27 |  176 |      18
     13 | 2014-02-11 |   32 |      16
     14 | 2014-02-22 |  122 |      15
     15 | 2014-02-11 |   17 |      18
     16 | 2014-02-16 |   78 |      17
     16 | 2014-02-24 |  169 |      17
     17 | 2014-02-24 |  148 |      13
     17 | 2014-02-13 |   46 |      13
     18 | 2014-02-13 |   40 |      18
     19 | 2014-02-18 |  104 |      18
     20 | 2014-02-13 |   53 |      14
     20 | 2014-02-20 |  107 |      14
     21 | 2014-02-24 |  121 |      15
     22 | 2014-02-24 |  164 |      17
     23 | 2014-02-25 |  174 |      15
     24 | 2014-02-09 |    7 |      15
     24 | 2014-02-19 |  105 |      15
     25 | 2014-02-20 |  118 |      15
     26 | 2014-02-21 |  120 |      14
     27 | 2014-02-16 |   68 |      13
     28 | 2014-02-27 |  159 |      16
     29 | 2014-02-26 |  154 |      15
     30 | 2014-02-23 |  166 |      14
     31 | 2014-02-12 |   41 |      12
     31 | 2014-02-19 |  110 |      12
     31 | 2014-02-17 |   87 |      12
     32 | 2014-02-19 |  108 |      19
     32 | 2014-02-13 |   48 |      19
     33 | 2014-02-23 |  144 |      16
     34 | 2014-02-16 |   92 |      20
     35 | 2014-02-26 |  184 |      19
     36 | 2014-02-23 |  123 |      13
     36 | 2014-02-16 |   68 |      13
     37 | 2014-02-13 |   39 |      19
     38 | 2014-02-09 |    3 |      16
     38 | 2014-02-23 |  147 |      16
     39 | 2014-02-19 |   94 |      16
     39 | 2014-02-16 |   66 |      16
     40 | 2014-02-20 |  122 |      18
     41 | 2014-02-16 |   71 |      15
     42 | 2014-02-14 |   49 |      16
     43 | 2014-02-13 |   37 |      16
     44 | 2014-02-19 |   93 |      15
     45 | 2014-02-14 |   59 |      17
     45 | 2014-02-19 |  117 |      17
     46 | 2014-02-14 |   42 |      16
     47 | 2014-02-24 |  147 |      15
     48 | 2014-02-14 |   53 |      14
     49 | 2014-02-17 |   71 |      18
     49 | 2014-02-23 |  140 |      18
     50 | 2014-02-16 |   73 |      15
     51 | 2014-02-09 |    5 |      15
     51 | 2014-02-11 |   30 |      15
     52 | 2014-02-19 |  111 |      15
     52 | 2014-02-15 |   63 |      15
     53 | 2014-02-12 |   37 |      14
     54 | 2014-02-22 |  146 |      17
     55 | 2014-02-10 |   18 |      14
     56 | 2014-02-19 |   96 |      13
     56 | 2014-02-10 |   13 |      13
     57 | 2014-02-10 |   11 |      19
     58 | 2014-02-09 |    3 |      13
     59 | 2014-02-14 |   52 |      17
     59 | 2014-02-25 |  166 |      17
     59 | 2014-02-17 |   88 |      17
     60 | 2014-02-14 |   49 |      19
     61 | 2014-02-23 |  143 |      17
     62 | 2014-02-13 |   53 |      18
     63 | 2014-02-20 |  102 |      14
     64 | 2014-02-12 |   43 |      20
     65 | 2014-02-12 |   41 |      15
     66 | 2014-02-23 |  129 |      19
     67 | 2014-02-13 |   41 |      15
     68 | 2014-02-10 |   17 |      16
     69 | 2014-02-21 |  117 |      15
     70 | 2014-02-23 |  126 |      15
     71 | 2014-02-15 |   71 |      16
     72 | 2014-02-15 |   66 |      18
     73 | 2014-02-09 |    5 |      16
     74 | 2014-02-24 |  149 |      15
     75 | 2014-02-14 |   65 |      17
     76 | 2014-02-18 |   84 |      16
     77 | 2014-02-18 |   87 |      18
     78 | 2014-02-25 |  154 |      14
     78 | 2014-02-13 |   40 |      14
     79 | 2014-02-12 |   35 |      15
     80 | 2014-02-20 |  109 |      16
     81 | 2014-02-27 |  165 |      14
     81 | 2014-02-26 |  151 |      14
     82 | 2014-02-14 |   48 |      13
     83 | 2014-02-10 |   12 |      13
     84 | 2014-02-21 |  139 |      19
     85 | 2014-02-26 |  145 |      15
     86 | 2014-02-23 |  137 |      14
     87 | 2014-02-18 |   99 |      15
     88 | 2014-02-12 |   39 |      17
     89 | 2014-02-22 |  138 |      17
     90 | 2014-02-12 |   40 |      17
     91 | 2014-02-17 |   63 |      16
     92 | 2014-02-27 |  190 |      16
     92 | 2014-02-22 |  143 |      16
     93 | 2014-02-27 |  181 |      14
     93 | 2014-02-11 |   24 |      14
     93 | 2014-02-14 |   55 |      14
     93 | 2014-02-22 |  125 |      14
     94 | 2014-02-25 |  142 |      16
     95 | 2014-02-26 |  171 |      13
     96 | 2014-02-18 |  103 |      16
     97 | 2014-02-17 |   94 |      17
     98 | 2014-02-16 |   77 |      13
     98 | 2014-02-23 |  147 |      13
     98 | 2014-02-26 |  177 |      13
     99 | 2014-02-13 |   43 |      14
    100 | 2014-02-16 |   74 |      16
    101 | 2014-02-12 |   36 |      17
    102 | 2014-02-24 |  166 |      20
    103 | 2014-02-15 |   67 |      18
    104 | 2014-02-26 |  174 |      15
    104 | 2014-02-15 |   61 |      15
    104 | 2014-02-19 |  102 |      15
    105 | 2014-02-14 |   45 |      16
    106 | 2014-02-27 |  169 |      14
    107 | 2014-02-26 |  168 |      15
    108 | 2014-02-12 |   37 |      17
    109 | 2014-02-09 |    8 |      14
