 userid | utctimestamp | tpos | length 
--------+--------------+------+--------
     18 | 2014-02-09   |    8 |      2
     21 | 2014-02-13   |   51 |      2
    111 | 2014-02-16   |   71 |      2
    137 | 2014-02-14   |   70 |      2
    244 | 2014-02-09   |   10 |      2
    275 | 2014-02-14   |   71 |      2
    337 | 2014-02-13   |   41 |      2
    495 | 2014-02-09   |    6 |      2
    613 | 2014-02-08   |    3 |      2
    695 | 2014-02-11   |   20 |      2
    705 | 2014-02-13   |   57 |      2
    844 | 2014-02-11   |   32 |      2
    866 | 2014-02-08   |    0 |      2
    878 | 2014-02-16   |   75 |      2
    911 | 2014-02-12   |   49 |      2
    977 | 2014-02-08   |    7 |      2
    993 | 2014-02-09   |    5 |      2
    994 | 2014-02-15   |   65 |      2
   1051 | 2014-02-09   |    5 |      2
   1064 | 2014-02-10   |   21 |      2
   1186 | 2014-02-12   |   42 |      2
   1213 | 2014-02-12   |   38 |      2
   1226 | 2014-02-16   |   72 |      2
   1232 | 2014-02-15   |   76 |      2
   1342 | 2014-02-17   |   72 |      2
   1399 | 2014-02-12   |   48 |      2
   1485 | 2014-02-09   |   12 |      2
   1502 | 2014-02-18   |  102 |      2
   1606 | 2014-02-13   |   45 |      2
   1616 | 2014-02-16   |   86 |      2
   1789 | 2014-02-18   |   91 |      2
   1794 | 2014-02-16   |   82 |      2
   1815 | 2014-02-12   |   49 |      2
   1859 | 2014-02-12   |   47 |      2
   1887 | 2014-02-15   |   57 |      2
   1902 | 2014-02-11   |   26 |      2
   1919 | 2014-02-13   |   44 |      2
   1964 | 2014-02-09   |   12 |      2
   1964 | 2014-02-17   |  101 |      2
   1972 | 2014-02-12   |   42 |      2
   2018 | 2014-02-11   |   39 |      2
   2091 | 2014-02-16   |   77 |      2
   2102 | 2014-02-09   |    6 |      2
   2132 | 2014-02-15   |   81 |      2
   2135 | 2014-02-08   |    4 |      2
   2136 | 2014-02-09   |   11 |      2
   2152 | 2014-02-13   |   52 |      2
   2157 | 2014-02-18   |   97 |      2
   2173 | 2014-02-12   |   49 |      2
   2254 | 2014-02-13   |   54 |      2
   2274 | 2014-02-18   |   89 |      2
   2313 | 2014-02-10   |   26 |      2
   2348 | 2014-02-12   |   37 |      2
   2410 | 2014-02-10   |   13 |      2
   2413 | 2014-02-11   |   24 |      2
   2452 | 2014-02-09   |    8 |      2
   2505 | 2014-02-13   |   43 |      2
   2517 | 2014-02-13   |   56 |      2
   2520 | 2014-02-13   |   40 |      2
   2527 | 2014-02-13   |   49 |      2
   2554 | 2014-02-12   |   43 |      2
   2590 | 2014-02-12   |   40 |      2
   2743 | 2014-02-09   |   21 |      2
   2804 | 2014-02-10   |   21 |      2
   2807 | 2014-02-14   |   57 |      2
   2843 | 2014-02-17   |   93 |      2
   3039 | 2014-02-12   |   42 |      2
   3081 | 2014-02-16   |   71 |      2
   3130 | 2014-02-16   |   88 |      2
   3358 | 2014-02-16   |   77 |      2
   3431 | 2014-02-09   |   10 |      2
   3433 | 2014-02-15   |   64 |      2
   3507 | 2014-02-16   |   94 |      2
   3511 | 2014-02-14   |   67 |      2
   3639 | 2014-02-08   |    1 |      2
   3644 | 2014-02-12   |   40 |      2
   3685 | 2014-02-08   |    0 |      2
   3709 | 2014-02-09   |    9 |      2
   3748 | 2014-02-09   |   11 |      2
   3792 | 2014-02-10   |   31 |      2
   3800 | 2014-02-14   |   64 |      2
