 userid |   ddate    | tpos | lengthh 
--------+------------+------+---------
      0 | 2014-02-17 |   86 |      14
      0 | 2014-02-14 |   51 |      14
      0 | 2014-02-16 |   72 |      14
      1 | 2014-02-11 |   32 |      18
      2 | 2014-02-17 |   75 |      13
      3 | 2014-02-14 |   44 |      18
      4 | 2014-02-10 |    9 |      16
      5 | 2014-02-13 |   48 |      21
      6 | 2014-02-17 |   89 |      17
      7 | 2014-02-16 |   77 |      17
      8 | 2014-02-12 |   32 |      16
      9 | 2014-02-15 |   67 |      18
     10 | 2014-02-12 |   40 |      17
     11 | 2014-02-13 |   47 |      14
     12 | 2014-02-10 |   12 |      16
     13 | 2014-02-13 |   58 |      15
     14 | 2014-02-15 |   62 |      17
     15 | 2014-02-14 |   48 |      19
     16 | 2014-02-16 |   83 |      15
     17 | 2014-02-15 |   78 |      17
     18 | 2014-02-13 |   44 |      15
     19 | 2014-02-17 |   73 |      11
     20 | 2014-02-15 |   68 |      15
     21 | 2014-02-14 |   54 |      17
     22 | 2014-02-10 |   11 |      22
     23 | 2014-02-11 |   25 |      15
     23 | 2014-02-16 |   72 |      15
     24 | 2014-02-15 |   67 |      20
     25 | 2014-02-10 |   15 |      14
     26 | 2014-02-12 |   43 |      16
     26 | 2014-02-11 |   27 |      16
     27 | 2014-02-12 |   33 |      14
     28 | 2014-02-10 |   12 |      16
     29 | 2014-02-11 |   29 |      12
     29 | 2014-02-15 |   69 |      12
     30 | 2014-02-17 |   91 |      15
     31 | 2014-02-13 |   43 |      15
     32 | 2014-02-14 |   49 |      11
     32 | 2014-02-12 |   31 |      11
     32 | 2014-02-16 |   65 |      11
     33 | 2014-02-13 |   49 |      21
     34 | 2014-02-12 |   42 |      16
     35 | 2014-02-12 |   28 |      15
     35 | 2014-02-16 |   70 |      15
     36 | 2014-02-11 |   23 |      14
     37 | 2014-02-11 |   26 |      15
     38 | 2014-02-17 |   86 |      12
     38 | 2014-02-10 |   18 |      12
     39 | 2014-02-09 |    1 |      16
     40 | 2014-02-15 |   64 |      13
     41 | 2014-02-12 |   27 |      11
     42 | 2014-02-14 |   58 |      16
     43 | 2014-02-15 |   74 |      15
     44 | 2014-02-10 |   19 |      13
     45 | 2014-02-14 |   58 |      13
     46 | 2014-02-16 |   69 |      17
     47 | 2014-02-14 |   54 |      16
     48 | 2014-02-17 |  100 |      15
     49 | 2014-02-14 |   51 |      14
     50 | 2014-02-10 |   23 |      14
     51 | 2014-02-12 |   30 |      11
     52 | 2014-02-10 |   17 |      12
     53 | 2014-02-10 |   12 |      17
     54 | 2014-02-11 |   25 |      13
     55 | 2014-02-13 |   39 |      20
     56 | 2014-02-14 |   45 |      14
     57 | 2014-02-09 |    5 |      13
     58 | 2014-02-10 |   10 |      21
     59 | 2014-02-17 |   81 |      14
     59 | 2014-02-10 |   15 |      14
     60 | 2014-02-10 |   10 |      16
     61 | 2014-02-17 |  101 |      17
     62 | 2014-02-14 |   68 |      15
     62 | 2014-02-13 |   53 |      15
     63 | 2014-02-16 |   70 |      17
     64 | 2014-02-10 |   15 |      15
     65 | 2014-02-17 |   87 |      14
     65 | 2014-02-13 |   43 |      14
     66 | 2014-02-17 |   92 |      13
     66 | 2014-02-15 |   67 |      13
     67 | 2014-02-11 |   26 |      12
     67 | 2014-02-15 |   55 |      12
     68 | 2014-02-09 |    4 |      17
     69 | 2014-02-16 |   68 |      13
     70 | 2014-02-13 |   42 |      13
     71 | 2014-02-16 |   75 |      14
     72 | 2014-02-11 |   24 |      15
     73 | 2014-02-14 |   50 |      13
     74 | 2014-02-14 |   59 |      14
     75 | 2014-02-17 |   70 |      21
     76 | 2014-02-16 |   63 |      12
     77 | 2014-02-09 |    5 |      13
     78 | 2014-02-14 |   60 |      16
     78 | 2014-02-10 |   17 |      16
     79 | 2014-02-17 |   77 |      15
     80 | 2014-02-11 |   21 |      11
     81 | 2014-02-14 |   60 |      15
     82 | 2014-02-11 |   31 |      16
     82 | 2014-02-09 |    4 |      16
     83 | 2014-02-16 |   80 |      14
     83 | 2014-02-10 |   15 |      14
     84 | 2014-02-17 |   77 |      15
     85 | 2014-02-13 |   53 |      18
     86 | 2014-02-13 |   43 |      14
     86 | 2014-02-14 |   57 |      14
     87 | 2014-02-10 |   14 |      15
     88 | 2014-02-11 |   23 |      17
     89 | 2014-02-11 |   25 |      12
     90 | 2014-02-16 |   69 |      14
     91 | 2014-02-12 |   30 |      13
     91 | 2014-02-16 |   69 |      13
     92 | 2014-02-14 |   55 |      16
     93 | 2014-02-16 |   84 |      15
     93 | 2014-02-10 |   14 |      15
     93 | 2014-02-11 |   29 |      15
     94 | 2014-02-11 |   18 |      14
     95 | 2014-02-15 |   56 |      13
     96 | 2014-02-09 |    9 |      16
     97 | 2014-02-16 |   70 |      17
     98 | 2014-02-09 |    7 |      16
     99 | 2014-02-12 |   31 |      14
    100 | 2014-02-10 |   12 |      18
    101 | 2014-02-12 |   27 |      17
    102 | 2014-02-10 |   10 |      13
    102 | 2014-02-12 |   33 |      13
    103 | 2014-02-13 |   39 |      13
