 userid |   ddate    | tpos | lengthh 
--------+------------+------+---------
      0 | 2014-02-19 |  116 |      15
      1 | 2014-02-15 |   74 |      18
      2 | 2014-02-19 |  106 |      15
      3 | 2014-02-09 |    5 |      19
      4 | 2014-02-17 |   87 |      14
      4 | 2014-02-16 |   73 |      14
      4 | 2014-02-09 |   10 |      14
      5 | 2014-02-24 |  157 |      14
      5 | 2014-02-26 |  181 |      14
      6 | 2014-02-13 |   39 |      13
      6 | 2014-02-14 |   52 |      13
      7 | 2014-02-11 |   28 |      14
      7 | 2014-02-09 |    6 |      14
      8 | 2014-02-26 |  165 |      15
      8 | 2014-02-22 |  118 |      15
      9 | 2014-02-11 |   23 |      16
     10 | 2014-02-20 |  118 |      17
     11 | 2014-02-21 |  122 |      16
     12 | 2014-02-27 |  161 |      15
     13 | 2014-02-20 |  108 |      16
     14 | 2014-02-25 |  137 |      13
     15 | 2014-02-16 |   80 |      16
     16 | 2014-02-10 |   16 |      19
     17 | 2014-02-22 |  125 |      13
     18 | 2014-02-20 |  124 |      16
     19 | 2014-02-26 |  160 |      18
     20 | 2014-02-20 |  115 |      14
     21 | 2014-02-14 |   57 |      15
     21 | 2014-02-18 |  100 |      15
     21 | 2014-02-21 |  135 |      15
     21 | 2014-02-26 |  182 |      15
     21 | 2014-02-13 |   42 |      15
     22 | 2014-02-11 |   19 |      14
     22 | 2014-02-21 |  119 |      14
     22 | 2014-02-18 |   87 |      14
     23 | 2014-02-17 |   82 |      16
     23 | 2014-02-22 |  129 |      16
     24 | 2014-02-22 |  139 |      16
     24 | 2014-02-09 |    2 |      16
     25 | 2014-02-19 |  118 |      15
     25 | 2014-02-10 |   17 |      15
     26 | 2014-02-10 |   15 |      14
     27 | 2014-02-19 |   97 |      20
     28 | 2014-02-20 |  105 |      16
     29 | 2014-02-15 |   67 |      19
     30 | 2014-02-16 |   70 |      18
     31 | 2014-02-10 |   18 |      14
     32 | 2014-02-27 |  186 |      16
     33 | 2014-02-22 |  137 |      16
     33 | 2014-02-14 |   54 |      16
     34 | 2014-02-27 |  197 |      18
     35 | 2014-02-17 |   86 |      17
     36 | 2014-02-26 |  159 |      17
     37 | 2014-02-25 |  158 |      18
     38 | 2014-02-15 |   64 |      15
     39 | 2014-02-27 |  185 |      19
     40 | 2014-02-27 |  179 |      13
     40 | 2014-02-13 |   38 |      13
     40 | 2014-02-19 |  101 |      13
     41 | 2014-02-21 |  114 |      14
     41 | 2014-02-17 |   74 |      14
     42 | 2014-02-24 |  160 |      17
     42 | 2014-02-16 |   77 |      17
     43 | 2014-02-14 |   61 |      17
     44 | 2014-02-23 |  128 |      16
     45 | 2014-02-27 |  193 |      16
     46 | 2014-02-15 |   61 |      15
     47 | 2014-02-09 |    8 |      17
     48 | 2014-02-26 |  181 |      17
     48 | 2014-02-12 |   41 |      17
     49 | 2014-02-22 |  124 |      18
     50 | 2014-02-17 |   78 |      18
     51 | 2014-02-25 |  169 |      18
     52 | 2014-02-27 |  174 |      13
     52 | 2014-02-16 |   65 |      13
     52 | 2014-02-18 |   86 |      13
     52 | 2014-02-23 |  138 |      13
     53 | 2014-02-15 |   64 |      17
     54 | 2014-02-21 |  128 |      16
     55 | 2014-02-11 |   23 |      15
     55 | 2014-02-13 |   48 |      15
     56 | 2014-02-17 |   79 |      16
     57 | 2014-02-19 |  113 |      14
     57 | 2014-02-22 |  152 |      14
     58 | 2014-02-26 |  185 |      17
