 userid |   start    | start_pos | length 
--------+------------+-----------+--------
      8 | 2014-02-15 |        49 |      2
    205 | 2014-02-10 |        25 |      2
    254 | 2014-02-13 |        40 |      2
    307 | 2014-02-09 |        12 |      2
    335 | 2014-02-16 |        59 |      2
    344 | 2014-02-16 |        71 |      2
    425 | 2014-02-12 |        42 |      2
    546 | 2014-02-09 |        15 |      2
    551 | 2014-02-15 |        80 |      2
    582 | 2014-02-17 |        73 |      2
    620 | 2014-02-11 |        25 |      2
    762 | 2014-02-14 |        59 |      2
    766 | 2014-02-17 |        89 |      2
    850 | 2014-02-10 |        16 |      2
    867 | 2014-02-18 |        99 |      2
    876 | 2014-02-16 |        75 |      2
    896 | 2014-02-10 |        14 |      2
    924 | 2014-02-10 |        25 |      2
    926 | 2014-02-17 |        88 |      2
    942 | 2014-02-12 |        36 |      2
    987 | 2014-02-10 |        27 |      2
     60 | 2014-02-13 |        58 |      3
    129 | 2014-02-14 |        59 |      3
    180 | 2014-02-17 |        81 |      3
    189 | 2014-02-17 |       100 |      3
    266 | 2014-02-11 |        39 |      3
    281 | 2014-02-12 |        29 |      3
    307 | 2014-02-09 |        11 |      3
    325 | 2014-02-18 |        90 |      3
    335 | 2014-02-16 |        58 |      3
    412 | 2014-02-17 |       110 |      3
    418 | 2014-02-10 |        16 |      3
    458 | 2014-02-12 |        31 |      3
    460 | 2014-02-13 |        40 |      3
    505 | 2014-02-16 |        76 |      3
    518 | 2014-02-18 |        90 |      3
    519 | 2014-02-09 |         4 |      3
    561 | 2014-02-08 |         0 |      3
    612 | 2014-02-11 |        27 |      3
    728 | 2014-02-16 |        76 |      3
    732 | 2014-02-10 |        24 |      3
    880 | 2014-02-15 |        74 |      3
    909 | 2014-02-12 |        49 |      3
    929 | 2014-02-08 |         3 |      3
    974 | 2014-02-12 |        27 |      3
     18 | 2014-02-17 |        99 |      4
     47 | 2014-02-09 |         7 |      4
     47 | 2014-02-11 |        29 |      4
     79 | 2014-02-11 |        26 |      4
     84 | 2014-02-16 |        83 |      4
    116 | 2014-02-09 |         8 |      4
    180 | 2014-02-17 |        81 |      4
    205 | 2014-02-10 |        25 |      4
    320 | 2014-02-09 |         8 |      4
    403 | 2014-02-09 |         8 |      4
    435 | 2014-02-09 |        12 |      4
    528 | 2014-02-11 |        36 |      4
    539 | 2014-02-13 |        56 |      4
    607 | 2014-02-12 |        39 |      4
    685 | 2014-02-09 |         6 |      4
    776 | 2014-02-10 |        21 |      4
    785 | 2014-02-12 |        40 |      4
    793 | 2014-02-10 |        21 |      4
    903 | 2014-02-10 |        16 |      4
    917 | 2014-02-13 |        52 |      4
    987 | 2014-02-10 |        27 |      4
    102 | 2014-02-08 |         2 |      5
    113 | 2014-02-17 |        70 |      5
    189 | 2014-02-09 |         7 |      5
    281 | 2014-02-12 |        27 |      5
    316 | 2014-02-15 |        56 |      5
    324 | 2014-02-11 |        39 |      5
    402 | 2014-02-17 |        84 |      5
    461 | 2014-02-15 |        59 |      5
    546 | 2014-02-12 |        47 |      5
    551 | 2014-02-15 |        77 |      5
    630 | 2014-02-13 |        62 |      5
    739 | 2014-02-08 |         0 |      5
    878 | 2014-02-12 |        36 |      5
    931 | 2014-02-16 |        77 |      5
    974 | 2014-02-12 |        25 |      5
    320 | 2014-02-11 |        26 |      6
    326 | 2014-02-13 |        44 |      6
    327 | 2014-02-17 |        81 |      6
    412 | 2014-02-10 |        20 |      6
    418 | 2014-02-10 |        13 |      6
    558 | 2014-02-11 |        30 |      6
    611 | 2014-02-09 |         5 |      6
    677 | 2014-02-08 |         0 |      6
    739 | 2014-02-17 |        97 |      6
    757 | 2014-02-14 |        48 |      6
    785 | 2014-02-12 |        38 |      6
    851 | 2014-02-11 |        27 |      6
    924 | 2014-02-10 |        21 |      6
    935 | 2014-02-13 |        38 |      6
    150 | 2014-02-12 |        34 |      7
    338 | 2014-02-12 |        28 |      7
    459 | 2014-02-15 |        63 |      7
    465 | 2014-02-13 |        60 |      7
    504 | 2014-02-13 |        34 |      7
    801 | 2014-02-08 |         3 |      7
    873 | 2014-02-13 |        52 |      7
    980 | 2014-02-09 |        13 |      7
    163 | 2014-02-15 |        70 |      8
    284 | 2014-02-10 |        20 |      8
    350 | 2014-02-09 |        11 |      8
    603 | 2014-02-14 |        58 |      8
    873 | 2014-02-13 |        51 |      8
      3 | 2014-02-12 |        38 |      9
    343 | 2014-02-16 |        68 |      9
    350 | 2014-02-09 |        10 |      9
    379 | 2014-02-13 |        45 |      9
    768 | 2014-02-09 |        12 |      9
    854 | 2014-02-12 |        32 |      9
    123 | 2014-02-11 |        23 |     10
    266 | 2014-02-11 |        32 |     10
      1 | 2014-02-09 |         9 |     11
     69 | 2014-02-09 |        17 |     11
    318 | 2014-02-15 |        65 |     11
    600 | 2014-02-17 |        92 |     11
    909 | 2014-02-12 |        41 |     11
     38 | 2014-02-13 |        55 |     13
    600 | 2014-02-17 |        90 |     13
    812 | 2014-02-11 |        31 |     13
     89 | 2014-02-11 |        33 |     14
(125 rows)


