 userid | start_pos | length |   start    |          venue           
--------+-----------+--------+------------+--------------------------
    219 |       125 |      2 | 2014-02-21 | 4324c500f964a520ad271fe3
   2119 |        56 |      2 | 2014-02-15 | 4daa3468f7b145b3700bce0f
   2362 |       179 |      2 | 2014-02-26 | 4bf19ca578cec928d99cba86
   4623 |        58 |      2 | 2014-02-14 | 4b2fe4c1f964a52020f224e3
   5011 |       186 |      2 | 2014-02-27 | 49f33157f964a5206c6a1fe3
   9977 |       177 |      2 | 2014-02-26 | 4ab81df6f964a520407c20e3
     10 |       173 |      3 | 2014-02-28 | 4b08356ef964a5204d0623e3
     33 |       194 |      3 | 2014-02-27 | 4a9204b4f964a5209b1c20e3
     75 |        26 |      3 | 2014-02-11 | 4ca76fb4b0b8236a2255a9e6
     96 |       133 |      3 | 2014-02-20 | 4d98ab4cc19fb60c65a3b365
    192 |        39 |      3 | 2014-02-11 | 4d212126bdd7a0931c41f3ce
    559 |       164 |      3 | 2014-02-23 | 4d8bcb61342b3704311b885c
    613 |       144 |      3 | 2014-02-21 | 4b79b276f964a520e70b2fe3
    714 |        39 |      3 | 2014-02-11 | 4c99034607916dcb311ff11b
    731 |       105 |      3 | 2014-02-19 | 4b1b13ddf964a520bbf723e3
   1059 |       171 |      3 | 2014-02-26 | 4b44aab8f964a520f3f825e3
   1219 |       132 |      3 | 2014-02-22 | 4a513b17f964a520d2b01fe3
   1324 |       102 |      3 | 2014-02-18 | 4ac0b865f964a5206b9420e3
   1714 |       125 |      3 | 2014-02-19 | 49bd4d49f964a52065541fe3
   1785 |         2 |      3 | 2014-02-08 | 4bf999c94a67c928252827cf
   1801 |        36 |      3 | 2014-02-12 | 4e2da316b0fbc2edac3852e4
   1829 |       167 |      3 | 2014-02-26 | 4c3a54f618e72d7feece1bf5
   2051 |        18 |      3 | 2014-02-10 | 4d2baf006e27a143832a3a24
   2303 |       199 |      3 | 2014-02-27 | 4a62c4b4f964a52080c41fe3
   2325 |       173 |      3 | 2014-02-27 | 4baa45c7f964a520d3593ae3
   2339 |         2 |      3 | 2014-02-08 | 4e8b15f3e5fa5654b5a3cce4
   2377 |        39 |      3 | 2014-02-12 | 4e628a7ad22d509a39ad445b
   2537 |       157 |      3 | 2014-02-26 | 4d3b6300039eb60cc5d2f49c
   2586 |        88 |      3 | 2014-02-16 | 4cea8f2ab997548199010845
   2631 |       176 |      3 | 2014-02-25 | 4fa46bc4e4b0fed48111a6f9
   2671 |       139 |      3 | 2014-02-21 | 4b944785f964a520a87234e3
   2847 |        81 |      3 | 2014-02-17 | 4db5d26a4b226b343da86273
   2871 |        18 |      3 | 2014-02-10 | 4c88077b97828cfa30ab98aa
   2920 |       106 |      3 | 2014-02-19 | 4f871584bb3d0cb6b50b95a0
   3113 |       134 |      3 | 2014-02-21 | 4ee19911b8f775b37373a062
   3815 |       150 |      3 | 2014-02-21 | 4ba53f74f964a52059f138e3
   3890 |       180 |      3 | 2014-02-26 | 3fd66200f964a520b9e61ee3
   3936 |        93 |      3 | 2014-02-19 | 4bc639bf51b376b0f5341b6f
   4146 |       121 |      3 | 2014-02-20 | 4eefc305be7ba3ed7ae89c9e
   4309 |       133 |      3 | 2014-02-21 | 4e4b1390aeb72792c336098a
   4439 |       111 |      3 | 2014-02-17 | 4a874879f964a5209f0320e3
   4557 |        76 |      3 | 2014-02-16 | 4b6382bdf964a520997f2ae3
   4760 |         7 |      3 | 2014-02-09 | 4eba8146f7900a95e20c22b5
   4847 |        63 |      3 | 2014-02-16 | 4c5d7d4285a1e21e0f755911
   4967 |       192 |      3 | 2014-02-27 | 4d57fc21380ab1f7d4a002f5
   5184 |       110 |      3 | 2014-02-19 | 4b5738e2f964a520ce2b28e3
   5321 |        32 |      3 | 2014-02-10 | 4fe4c428e4b0b0a4e45956a1
   5497 |       129 |      3 | 2014-02-21 | 4b678ccef964a520da542be3
   5625 |        35 |      3 | 2014-02-12 | 43fb97c1f964a520e52f1fe3
   5647 |       187 |      3 | 2014-02-26 | 49ff7bcef964a5202a701fe3
   5782 |        74 |      3 | 2014-02-15 | 4f9b6dd2e4b008dde105426e
   5839 |        32 |      3 | 2014-02-11 | 45f5a0e6f964a52018441fe3
   5996 |       178 |      3 | 2014-02-26 | 50213568e4b02a6248c9265e
   6161 |        22 |      3 | 2014-02-11 | 4bbb9705ed7776b01aa53e51
   6172 |       133 |      3 | 2014-02-21 | 50aff250e4b0f10422214138
   6233 |        14 |      3 | 2014-02-09 | 4a189b31f964a520cf791fe3
   6386 |        69 |      3 | 2014-02-15 | 3fd66200f964a52080e81ee3
   6716 |       144 |      3 | 2014-02-22 | 4d9a35c88163a35dc738567e
   6780 |        61 |      3 | 2014-02-15 | 4b4b6627f964a5202a9a26e3
   6934 |       121 |      3 | 2014-02-20 | 4a875f62f964a5201e0420e3
   6965 |        80 |      3 | 2014-02-19 | 4bad2e07f964a52057363be3
   7009 |        92 |      3 | 2014-02-17 | 4c3b4fce1a1cd13ad424b60d
   7329 |       150 |      3 | 2014-02-24 | 4c6b290ea48420a1be92090b
   7422 |       197 |      3 | 2014-02-26 | 4e78ac2eb993adb6be05557a
   7426 |       208 |      3 | 2014-02-27 | 4a7cbb2ef964a52060ed1fe3
   7499 |       143 |      3 | 2014-02-21 | 4a6a38a4f964a520ddcc1fe3
   7891 |        45 |      3 | 2014-02-12 | 4f617004e4b0a9d0911f1640
   8342 |       182 |      3 | 2014-02-26 | 4a874879f964a5209f0320e3
   8371 |         4 |      3 | 2014-02-09 | 4e1a41d3183880768f53f08c
   8371 |        27 |      3 | 2014-02-11 | 4ac8d0d3f964a520b3bc20e3
   8414 |        66 |      3 | 2014-02-13 | 4dd5e536b3adc64ae06d6669
   8622 |       163 |      3 | 2014-02-25 | 4b5e1490f964a520967c29e3
   8701 |       167 |      3 | 2014-02-22 | 4c57175aea05ef3b548417d3
   9218 |       157 |      3 | 2014-02-26 | 4f672e88e4b08ac7276c660b
   9406 |       149 |      3 | 2014-02-22 | 4a8e03a8f964a520c01120e3
   9755 |       165 |      3 | 2014-02-25 | 49f5135cf964a5208e6b1fe3
   9990 |        35 |      3 | 2014-02-12 | 4f70cdcde4b00c65125cbf68
    306 |       158 |      4 | 2014-02-23 | 43fb97c1f964a520e52f1fe3
    632 |        56 |      4 | 2014-02-15 | 4ad78220f964a520960b21e3
    749 |       103 |      4 | 2014-02-17 | 4baeb163f964a52063cf3be3
    899 |        61 |      4 | 2014-02-13 | 4c37f0c0dfb0e21e80d8ada8
   1007 |       103 |      4 | 2014-02-19 | 50fdbf2ce88928976cc8733c
   1353 |       161 |      4 | 2014-02-22 | 4ad81c09f964a520c01021e3
   1440 |        23 |      4 | 2014-02-10 | 4e064e3752b165b7d7a7688b
   1525 |        14 |      4 | 2014-02-09 | 4be23d2ff07b0f47562cf543
   1672 |        98 |      4 | 2014-02-18 | 4bc21a6074a9a59370bed2f6
   1935 |       102 |      4 | 2014-02-18 | 4b928c1ef964a5201b0334e3
   2451 |       114 |      4 | 2014-02-19 | 4c460e13342c1b8d2e6ab589
   2849 |        99 |      4 | 2014-02-18 | 4a07ac6af964a5208f731fe3
   3287 |        91 |      4 | 2014-02-18 | 4edfa98202d54f50bc5e31a1
   3312 |        47 |      4 | 2014-02-14 | 4b08e35ff964a520201323e3
   3509 |       164 |      4 | 2014-02-23 | 4a14d7c6f964a52083781fe3
   3547 |         0 |      4 | 2014-02-08 | 4cc70ed5be40a35dfcbc8d4c
   3718 |        53 |      4 | 2014-02-13 | 4c0a71056071a593fd80df32
   4352 |       112 |      4 | 2014-02-18 | 4fe64de9e4b0972a1d2d8ae4
   4577 |        79 |      4 | 2014-02-16 | 4de3e4effa7651589f21983d
   5015 |       142 |      4 | 2014-02-22 | 4de3e3d2c65b7a3e213d3910
   5117 |       108 |      4 | 2014-02-18 | 4c45fdcff9652d7fd2c4132b
   5503 |       152 |      4 | 2014-02-22 | 4db8b38a93a0f369e8601ddd
   5524 |        35 |      4 | 2014-02-11 | 50b936cae4b063c7482918d4
   6032 |       198 |      4 | 2014-02-26 | 4cf9cd337f2db1f7b9cb23d4
   6661 |       115 |      4 | 2014-02-21 | 4cd4892aa5b346880b858850
   6930 |       118 |      4 | 2014-02-19 | 4aa4253cf964a520894520e3
   7074 |       110 |      4 | 2014-02-20 | 4276bf00f964a5208a211fe3
   7185 |        99 |      4 | 2014-02-16 | 50286ae5e4b07f3295f9166d
   7201 |        30 |      4 | 2014-02-11 | 4aba2a01f964a520768020e3
   7511 |       171 |      4 | 2014-02-24 | 4ff3bec8e4b07fe944bf7c65
   7524 |       132 |      4 | 2014-02-22 | 4c1c3d1ce9c4ef3bd6c845aa
   7648 |        29 |      4 | 2014-02-11 | 4b2565e3f964a5203b7124e3
   7657 |       154 |      4 | 2014-02-25 | 4e792458d4c0d1e103e0045b
   8009 |        95 |      4 | 2014-02-18 | 502fb7bde4b0b5040f8bcb2f
   8069 |       155 |      4 | 2014-02-23 | 4b4f2e87f964a52072fc26e3
   8092 |        59 |      4 | 2014-02-13 | 4fca8341e4b05d86f274892c
   8310 |       158 |      4 | 2014-02-25 | 4b0ae932f964a520e82923e3
   8987 |        20 |      4 | 2014-02-10 | 4a676435f964a52054c91fe3
   9076 |       145 |      4 | 2014-02-23 | 4b846e4ff964a520fc3431e3
   9166 |        85 |      4 | 2014-02-15 | 4e98b45d2c5bf1484659a444
   9230 |       148 |      4 | 2014-02-24 | 4be07aad652b0f47c7947211
   9742 |        61 |      4 | 2014-02-14 | 4a9e748df964a5203a3a20e3
   9912 |       175 |      4 | 2014-02-24 | 4c8e7c2a4e95236ad45c7cca
   9948 |       150 |      4 | 2014-02-23 | 4e6c07652271d308c7c85f7d
   1028 |       151 |      5 | 2014-02-22 | 4d6ab0f79f4b6dcbf9d16628
   1503 |       148 |      5 | 2014-02-23 | 4b7ee546f964a520a10730e3
   1552 |       201 |      5 | 2014-02-26 | 49f5d475f964a520bf6b1fe3
   1752 |       202 |      5 | 2014-02-27 | 4c374b9a0a71c9b61e893ec9
   1882 |       177 |      5 | 2014-02-27 | 4a441b2bf964a52027a71fe3
   2404 |       118 |      5 | 2014-02-20 | 4f7b282ae4b0f909581d0fbd
   2488 |       218 |      5 | 2014-02-28 | 49fcd632f964a520e36e1fe3
   2874 |       232 |      5 | 2014-02-27 | 4c1a40e863750f4786f3b267
   3037 |        45 |      5 | 2014-02-12 | 4e7393931495dffb8efa57da
   3080 |        55 |      5 | 2014-02-14 | 4f8fab06e4b00b6012855856
   3108 |       156 |      5 | 2014-02-24 | 4bcb336068f976b0ca886083
   3204 |       120 |      5 | 2014-02-19 | 4b840a62f964a520c81c31e3
   3213 |        22 |      5 | 2014-02-11 | 4a874879f964a5209f0320e3
   3645 |        71 |      5 | 2014-02-14 | 5100658de4b065f410364d85
   3786 |        34 |      5 | 2014-02-11 | 4c97ee347b9d37049703da85
   4510 |       102 |      5 | 2014-02-20 | 4c3606342c8020a13a988600
   4601 |       152 |      5 | 2014-02-24 | 4c2a512ab34ad13a9815e8ce
   4703 |        23 |      5 | 2014-02-11 | 4db8bcd790a0e3f61d601888
   5666 |       104 |      5 | 2014-02-18 | 4ff3bec8e4b07fe944bf7c65
   5736 |        20 |      5 | 2014-02-10 | 4e8bac9b6c25fbeecd5147f8
   5974 |        87 |      5 | 2014-02-16 | 4f0b2960e4b0ca3a5f00e201
   6039 |        98 |      5 | 2014-02-18 | 4b0f267df964a520b35f23e3
   6218 |       137 |      5 | 2014-02-24 | 4e061b6caeb74c399107aae9
   6382 |        51 |      5 | 2014-02-13 | 4e0a366cd164028d170cb38c
   6532 |        33 |      5 | 2014-02-12 | 4b5fb175f964a52081c829e3
   6712 |       132 |      5 | 2014-02-23 | 4b82da00f964a52014e930e3
   6732 |        50 |      5 | 2014-02-13 | 4b4d2c4af964a5204ecd26e3
   6872 |       151 |      5 | 2014-02-20 | 4e8c450329c22b68ab23e112
   7666 |        55 |      5 | 2014-02-15 | 4b6f101df964a52084da2ce3
   8335 |        82 |      5 | 2014-02-15 | 4c7e761b0b2a9eb01674651f
   8503 |        70 |      5 | 2014-02-14 | 4c532ea472cf0f47964774d2
   8574 |       155 |      5 | 2014-02-24 | 4a3173daf964a520d4991fe3
   8629 |        85 |      5 | 2014-02-16 | 4b4b882cf964a5205b9f26e3
   9219 |       181 |      5 | 2014-02-26 | 49cd12a1f964a520b1591fe3
   9522 |       159 |      5 | 2014-02-25 | 4e01f8ee62843b639cfd1d54
   9665 |        65 |      5 | 2014-02-14 | 4ecf01b34690a03b5bbb2e05
   9743 |        25 |      5 | 2014-02-11 | 4116be80f964a520050c1fe3
    688 |        39 |      6 | 2014-02-12 | 4da8cdb7cda1652a2b6489b3
    956 |        28 |      6 | 2014-02-11 | 4c4b561a5609c9b66ca6fd90
   2086 |        63 |      6 | 2014-02-14 | 50513563e4b08eccb104248d
   2273 |        71 |      6 | 2014-02-15 | 4d48864b551db1f722e9a330
   2571 |       159 |      6 | 2014-02-23 | 4a8c5349f964a520a90d20e3
   2960 |       151 |      6 | 2014-02-25 | 4ac6bb7ff964a52014b620e3
   4502 |       133 |      6 | 2014-02-22 | 4ab8bdacf964a520177d20e3
   4709 |        16 |      6 | 2014-02-10 | 40df5f80f964a52098011fe3
   5260 |       152 |      6 | 2014-02-23 | 4caaa755f47ea1437a158521
   5741 |         1 |      6 | 2014-02-08 | 49ce9a68f964a520625a1fe3
   5918 |        13 |      6 | 2014-02-10 | 4bc766b392b376b0aea54f3a
   6112 |       127 |      6 | 2014-02-20 | 5108b9aae4b05b87f6f6e9a3
   6787 |       192 |      6 | 2014-02-27 | 4e7b7378c65b0e473b733b9c
   7092 |       177 |      6 | 2014-02-27 | 4c36244d1e06d13a45b6733e
   7119 |       184 |      6 | 2014-02-27 | 4a6ce6ddf964a520ffd11fe3
   7609 |        59 |      6 | 2014-02-13 | 4e14e8387d8b7c3376fdde94
   7823 |       174 |      6 | 2014-02-24 | 4c35d54aa0ced13a8c5d1a6e
   8022 |        15 |      6 | 2014-02-09 | 3fd66200f964a52068e31ee3
   9235 |        77 |      6 | 2014-02-15 | 4ad0ce25f964a520f9d920e3
   9439 |        29 |      6 | 2014-02-11 | 4c0d2811b1b676b01a26e086
   9460 |        38 |      6 | 2014-02-12 | 4da8e24143a1128196cf891b
   9736 |       154 |      6 | 2014-02-24 | 4c8adb4e9ef0224b8a0c5f7b
   1197 |       129 |      7 | 2014-02-21 | 4be6b3a32457a5939a0dad15
   1433 |        76 |      7 | 2014-02-14 | 4c806b3cd92ea09324113872
   2202 |        61 |      7 | 2014-02-15 | 4fd9f708e4b0d5879e520ede
   2367 |        49 |      7 | 2014-02-12 | 458d06b3f964a520fe3f1fe3
   2379 |       131 |      7 | 2014-02-20 | 4d262ad8b7d5236a10401009
   2398 |       169 |      7 | 2014-02-25 | 4b13f12bf964a520b69a23e3
   2590 |        36 |      7 | 2014-02-12 | 4f799f28e4b0488e30e494c9
   2773 |        88 |      7 | 2014-02-18 | 4b4a5132f964a5209c8326e3
   2996 |       101 |      7 | 2014-02-18 | 4f513be1e4b002a740fbf28c
   3018 |         8 |      7 | 2014-02-09 | 4dfe6dbe7d8b273aec63eee2
   3441 |       172 |      7 | 2014-02-26 | 4fc6addde4b01153fc551766
   3488 |        32 |      7 | 2014-02-11 | 4aaf8f76f964a520466420e3
   3707 |       137 |      7 | 2014-02-23 | 49e559cff964a520c7631fe3
   3933 |       164 |      7 | 2014-02-25 | 4bd974b02e6f0f4789940a08
   4351 |       149 |      7 | 2014-02-23 | 4b26e313f964a520828224e3
   4422 |        34 |      7 | 2014-02-12 | 4b6cfe10f964a520f0612ce3
   4591 |        81 |      7 | 2014-02-16 | 4c18519d834e2d7fcdc82880
   4790 |       178 |      7 | 2014-02-24 | 4d6a97469bd6a143cb386fdf
   5100 |       149 |      7 | 2014-02-23 | 4e9d1ef8754ae3862f13d0a1
   5781 |        96 |      7 | 2014-02-18 | 4da63146f7b192b486680fb9
   5814 |        29 |      7 | 2014-02-11 | 4a45652cf964a52021a81fe3
   5817 |       180 |      7 | 2014-02-27 | 50a6ce98e4b0573e0a533446
   7391 |       120 |      7 | 2014-02-22 | 49bd2d0ef964a52053541fe3
   7854 |       112 |      7 | 2014-02-19 | 4cb7565b64998cfa448e1ca2
   8049 |       156 |      7 | 2014-02-26 | 41059b00f964a5207b0b1fe3
   8184 |        96 |      7 | 2014-02-17 | 4e0b79a818a86d2caa7b8886
   8224 |       169 |      7 | 2014-02-24 | 4fd641a9d5fb77eef664743f
   8831 |       154 |      7 | 2014-02-24 | 4f0897fee4b090ef2218352f
   8868 |        40 |      7 | 2014-02-12 | 4abb9d94f964a5201d8420e3
   9058 |       148 |      7 | 2014-02-24 | 4bb13135f964a5204e823ce3
   9099 |         7 |      7 | 2014-02-09 | 49f86c71f964a520f46c1fe3
   9278 |        90 |      7 | 2014-02-17 | 4c8f94211992a1cdb404e7fb
   9609 |       174 |      7 | 2014-02-25 | 4e0a5cc422714194998ddfc2
   9744 |        78 |      7 | 2014-02-17 | 4e4b1b5f22713bd908baec71
   1138 |        38 |      8 | 2014-02-13 | 4ba2a9cbf964a520d00d38e3
   2083 |        33 |      8 | 2014-02-12 | 4a9b025ef964a520f93320e3
   2217 |         9 |      8 | 2014-02-09 | 4acca438f964a5201dc920e3
   2789 |       181 |      8 | 2014-02-27 | 4ec03d27d3e3700a5bbd06a4
   5266 |        85 |      8 | 2014-02-17 | 4c7d0ee5247cb60c0cbd5f5e
   5609 |       123 |      8 | 2014-02-19 | 4db341a70cb6729b6a7c6685
   7694 |       142 |      8 | 2014-02-23 | 4b1ab1a6f964a52090ef23e3
   8473 |        91 |      8 | 2014-02-19 | 4e87e08d93ad69fee81d7c9d
   8800 |        62 |      8 | 2014-02-14 | 4b7d78e1f964a520bac02fe3
   8943 |       184 |      8 | 2014-02-27 | 4a75eeaff964a520b5e11fe3
   8984 |       110 |      8 | 2014-02-19 | 4d67f273fd1b8cfae8b624f0
