 userid |   ddate    | tpos | lengthh 
--------+------------+------+---------
      0 | 2014-02-12 |   32 |      13
      0 | 2014-02-17 |   79 |      13
      1 | 2014-02-09 |    7 |      15
      2 | 2014-02-10 |   12 |      14
      3 | 2014-02-12 |   34 |      13
      4 | 2014-02-15 |   53 |      15
      5 | 2014-02-14 |   51 |      16
      6 | 2014-02-17 |   86 |      16
      7 | 2014-02-09 |   10 |      14
      8 | 2014-02-16 |   55 |      13
      9 | 2014-02-15 |   66 |      17
     10 | 2014-02-10 |    9 |      14
     10 | 2014-02-14 |   49 |      14
     11 | 2014-02-12 |   34 |      14
     12 | 2014-02-13 |   33 |      12
     12 | 2014-02-14 |   45 |      12
     12 | 2014-02-16 |   65 |      12
     13 | 2014-02-13 |   47 |      13
     13 | 2014-02-16 |   80 |      13
     14 | 2014-02-13 |   38 |      16
     15 | 2014-02-14 |   48 |      17
     16 | 2014-02-11 |   14 |      17
     17 | 2014-02-10 |   17 |      13
     17 | 2014-02-11 |   30 |      13
     17 | 2014-02-13 |   54 |      13
     17 | 2014-02-16 |   86 |      13
     18 | 2014-02-15 |   71 |      13
     19 | 2014-02-10 |   15 |      13
     19 | 2014-02-11 |   28 |      13
     20 | 2014-02-14 |   57 |      13
     21 | 2014-02-12 |   31 |      14
     22 | 2014-02-13 |   39 |      17
     23 | 2014-02-09 |    7 |      19
     24 | 2014-02-14 |   50 |      14
     25 | 2014-02-17 |   79 |      13
     26 | 2014-02-13 |   44 |      17
     27 | 2014-02-17 |   81 |      15
     28 | 2014-02-10 |   13 |      14
     29 | 2014-02-15 |   69 |      15
     30 | 2014-02-14 |   48 |      12
     30 | 2014-02-16 |   65 |      12
     31 | 2014-02-17 |   70 |      16
     32 | 2014-02-13 |   37 |      12
     33 | 2014-02-13 |   40 |      16
     34 | 2014-02-14 |   44 |      14
     34 | 2014-02-17 |   75 |      14
     35 | 2014-02-12 |   39 |      14
     35 | 2014-02-13 |   53 |      14
     36 | 2014-02-11 |   21 |      14
     36 | 2014-02-17 |   68 |      14
     37 | 2014-02-10 |   11 |      13
     38 | 2014-02-09 |    9 |      15
     39 | 2014-02-16 |   68 |      14
     40 | 2014-02-17 |   77 |      17
     41 | 2014-02-14 |   43 |      16
     42 | 2014-02-09 |    3 |      13
     42 | 2014-02-12 |   37 |      13
     43 | 2014-02-16 |   63 |      12
     44 | 2014-02-15 |   55 |      15
     45 | 2014-02-10 |   13 |      15
     46 | 2014-02-09 |    6 |      13
     46 | 2014-02-14 |   56 |      13
     46 | 2014-02-17 |   88 |      13
     47 | 2014-02-16 |   69 |      15
     48 | 2014-02-15 |   63 |      17
     49 | 2014-02-13 |   44 |      16
     50 | 2014-02-15 |   59 |      16
     51 | 2014-02-15 |   43 |      20
     52 | 2014-02-09 |    4 |      14
     52 | 2014-02-12 |   35 |      14
     53 | 2014-02-11 |   16 |      19
     54 | 2014-02-17 |   86 |      14
     55 | 2014-02-11 |   17 |      18
     56 | 2014-02-13 |   50 |      15
     57 | 2014-02-12 |   29 |      16
     58 | 2014-02-13 |   40 |      12
     59 | 2014-02-13 |   34 |      15
     60 | 2014-02-15 |   72 |      19
     61 | 2014-02-14 |   53 |      14
     61 | 2014-02-16 |   70 |      14
     62 | 2014-02-10 |   14 |      13
     63 | 2014-02-10 |   11 |       9
     63 | 2014-02-11 |   20 |       9
     63 | 2014-02-13 |   36 |       9
     63 | 2014-02-16 |   54 |       9
     64 | 2014-02-09 |    7 |      17
     65 | 2014-02-12 |   32 |      21
     66 | 2014-02-15 |   67 |      22
     67 | 2014-02-15 |   53 |      12
     67 | 2014-02-16 |   65 |      12
     68 | 2014-02-10 |   17 |      17
     68 | 2014-02-13 |   50 |      17
     69 | 2014-02-09 |   11 |      17
     70 | 2014-02-10 |   18 |      17
     71 | 2014-02-15 |   43 |      14
     72 | 2014-02-15 |   60 |      15
     73 | 2014-02-16 |   79 |      12
     74 | 2014-02-12 |   38 |      16
     75 | 2014-02-11 |   31 |      17
     76 | 2014-02-09 |    4 |      15
     77 | 2014-02-09 |    7 |      14
     77 | 2014-02-16 |   77 |      14
     78 | 2014-02-12 |   40 |      14
     79 | 2014-02-13 |   42 |      18
     80 | 2014-02-15 |   66 |      17
     81 | 2014-02-16 |   59 |      15
     82 | 2014-02-17 |   83 |      15
     83 | 2014-02-12 |   23 |      13
     84 | 2014-02-10 |   12 |      15
     85 | 2014-02-15 |   74 |      15
     86 | 2014-02-11 |   31 |      16
     87 | 2014-02-17 |   80 |      14
     88 | 2014-02-12 |   34 |      14
     88 | 2014-02-15 |   69 |      14
     89 | 2014-02-09 |    2 |      19
     90 | 2014-02-12 |   38 |      16
     91 | 2014-02-15 |   59 |      17
     92 | 2014-02-17 |   84 |      17
     93 | 2014-02-10 |   19 |      14
     93 | 2014-02-12 |   44 |      14
     94 | 2014-02-14 |   58 |      13
     94 | 2014-02-16 |   76 |      13
     94 | 2014-02-17 |   89 |      13
     95 | 2014-02-09 |    6 |      16
     96 | 2014-02-13 |   39 |      19
     97 | 2014-02-16 |   81 |      16
     98 | 2014-02-17 |   96 |      14
     99 | 2014-02-14 |   49 |      13
    100 | 2014-02-13 |   43 |      18
    101 | 2014-02-15 |   62 |      15
    102 | 2014-02-15 |   49 |      14
    103 | 2014-02-11 |   18 |      16
    104 | 2014-02-12 |   33 |      13
    104 | 2014-02-15 |   62 |      13
    104 | 2014-02-16 |   75 |      13
    105 | 2014-02-15 |   62 |      16
    106 | 2014-02-14 |   47 |      12
    107 | 2014-02-14 |   49 |      12
    108 | 2014-02-12 |   37 |      19
    109 | 2014-02-11 |   29 |      13
    109 | 2014-02-13 |   47 |      13
    109 | 2014-02-15 |   69 |      13
    110 | 2014-02-16 |   61 |      14
    111 | 2014-02-10 |   14 |      13
    112 | 2014-02-16 |   78 |      17
    113 | 2014-02-10 |    9 |      15
    114 | 2014-02-12 |   41 |      15
    115 | 2014-02-16 |   68 |      14
    116 | 2014-02-13 |   35 |      12
    117 | 2014-02-11 |   20 |      18
    118 | 2014-02-12 |   42 |      15
    119 | 2014-02-15 |   65 |      15
    120 | 2014-02-16 |   56 |      12
    121 | 2014-02-14 |   46 |      13
    122 | 2014-02-12 |   35 |      17
    123 | 2014-02-12 |   33 |      15
    124 | 2014-02-17 |   77 |      15
    125 | 2014-02-11 |   26 |      13
    125 | 2014-02-14 |   55 |      13
    126 | 2014-02-09 |    1 |      16
    127 | 2014-02-10 |   16 |      17
    128 | 2014-02-10 |   16 |      12
    128 | 2014-02-13 |   43 |      12
    129 | 2014-02-12 |   31 |      14
    130 | 2014-02-10 |   15 |      17
    131 | 2014-02-15 |   59 |      13
    132 | 2014-02-09 |    4 |      16
    133 | 2014-02-10 |    9 |      12
    133 | 2014-02-12 |   25 |      12
    134 | 2014-02-17 |   75 |      14
    135 | 2014-02-15 |   65 |      17
    136 | 2014-02-13 |   60 |      15
    137 | 2014-02-14 |   49 |      13
    138 | 2014-02-13 |   45 |      15
